Area,Year,Food Inflation Rate,Raw GDP,GDP Growth Rate,Item,Item Price Per Tonne,Overall Inflation Rate
Albania,2015,4.294233333333334,11386.924853,-13.919579,Unmanufactured tobacco,2087.9,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Watermelons,150.8,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Wheat,301.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Apples,381.3,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Apricots,732.1,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Barley,319.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Beans, dry",1661.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Cabbages,202.1,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Cantaloupes and other melons,361.0,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Carrots and turnips,377.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Cauliflowers and broccoli,760.8,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Cherries,1169.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Chestnuts, in shell",1256.1,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",317.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Cucumbers and gherkins,481.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Dates,342.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Eggplants (aubergines),487.9,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Figs,724.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Grapes,561.8,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Green garlic,1623.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Hen eggs in shell, fresh",2946.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Leeks and other alliaceous vegetables,244.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Lemons and limes,729.9,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Lettuce and chicory,500.6,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Maize (corn),290.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Meat of cattle with the bone, fresh or chilled (biological)",3058.8,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Meat of chickens, fresh or chilled (biological)",2412.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Meat of goat, fresh or chilled (biological)",2096.8,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Meat of pig with the bone, fresh or chilled (biological)",2787.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Meat of sheep, fresh or chilled (biological)",2162.6,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Meat of turkeys, fresh or chilled (biological)",5161.4,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Natural honey,11957.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Oats,329.1,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Olives,1447.8,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Onions and shallots, dry (excluding dehydrated)",319.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Onions and shallots, green",456.6,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Oranges,397.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Other beans, green",767.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",3050.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Peaches and nectarines,603.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Pears,674.6,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Peas, green",666.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Plums and sloes,343.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Potatoes,293.3,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Pumpkins, squash and gourds",421.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Quinces,748.6,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Raw milk of cattle,328.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Raw milk of goats,450.6,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Raw milk of sheep,650.8,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Rye,430.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Shorn wool, greasy, including fleece-washed shorn wool",436.7,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Soya beans,525.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Spinach,493.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Sunflower seed,839.9,3.2
Albania,2016,3.25461975,11861.356451,4.166459,"Tangerines, mandarins, clementines",445.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Tomatoes,446.2,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Unmanufactured tobacco,2291.5,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Watermelons,133.9,3.2
Albania,2016,3.25461975,11861.356451,4.166459,Wheat,296.9,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Apples,461.6,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Apricots,599.1,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Barley,303.6,3.2
Albania,2017,3.9245775,13019.729856,9.765943,"Beans, dry",1710.4,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Cabbages,180.6,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Cantaloupes and other melons,432.5,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Carrots and turnips,370.3,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Cauliflowers and broccoli,891.3,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Cherries,1346.6,3.2
Albania,2017,3.9245775,13019.729856,9.765943,"Chestnuts, in shell",1640.4,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Cucumbers and gherkins,553.7,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Dates,346.3,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Eggplants (aubergines),841.9,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Figs,911.4,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Grapes,694.5,3.2
Albania,2017,3.9245775,13019.729856,9.765943,Green garlic,1902.9,3.2
Albania,2017,3.9245775,13019.729856,9.765943,"Hen eggs in shell, fresh",3108.0,3.2
